Name,Purpose,Quantity,Total Cost,Link,Distributor
"2073-FFC2A32-24-TCT-ND","CONN FFC VERT 24POS 0.5MM SMD",4,2.56,"https://www.digikey.com/en/products/detail/gct/FFC2A32-24-T/10656996","Digikey"
"469-1075-ND","MAGNET 0.236""D X 0.098""THICK CYL",3,2.25,"https://www.digikey.com/en/products/detail/radial-magnets-inc/9049/6030786","Digikey"
"728-1088-ND","BATTERY SLVR OX 1.55V COIN 4.8MM",2,6.10,"https://www.digikey.com/en/products/detail/seiko-instruments/SR421SW/7428808","Digikey"
"1528-1841-ND","BATTERY LITH-ION 3.7V 500MAH",1,7.95,"https://www.digikey.com/en/products/detail/adafruit-industries-llc/1578/5054539","Digikey"
"478-3868-1-ND","CAP TANT 4.7UF 10% 16V 1206",10,2.11,"https://www.digikey.com/en/products/detail/kyocera-avx/TAJA475K016RNJ/1126796","Digikey"
"587-1300-1-ND","CAP CER 10UF 10V X5R 0805",10,0.16,"https://www.digikey.com/en/products/detail/taiyo-yuden/LMK212BJ106KG-T/930652","Digikey"
"311-10.0KHRCT-ND","RES 10K OHM 1% 1/10W 0603",25,0.14,"https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880","Digikey"
"311-5.10KHRCT-ND","RES 5.1K OHM 1% 1/10W 0603",10,0.07,"https://www.digikey.com/en/products/detail/yageo/RC0603FR-075K1L/727268","Digikey"
"311-470GRCT-ND","RES 470 OHM 5% 1/10W 0603",10,0.07,"https://www.digikey.com/en/products/detail/yageo/RC0603JR-07470RL/726791","Digikey"
"NCP1117LPST33T3GOSCT-ND","IC REG LINEAR 3.3V 1A SOT-223",2,0.74,"https://www.digikey.com/en/products/detail/onsemi/NCP1117LPST33T3G/2194024","Digikey"
"497-STM32WB50CGU5-ND","IC RF TXRX+MCU 802.15.4 48UFQFPN",2,10.80,"https://www.digikey.com/en/products/detail/stmicroelectronics/STM32WB50CGU5/10673126","Digikey"
